DEPTID,NOM_DEPT,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52
11,BOGOT,0.001622486,0.001486349,0.001428219,0.001434801,0.001492799,0.001588919,0.001709951,0.001847797,0.002002282,0.002173913,0.002363197,0.002570642,0.002795747,0.003026304,0.003242553,0.003424606,0.003552575,0.003606574,0.003573261,0.003465473,0.003302595,0.00310401,0.002889101,0.002677127,0.002479831,0.00229731,0.002128657,0.001972967,0.001829334,0.001697263,0.001581023,0.001487963,0.001425477,0.001400966,0.001421824,0.001492906,0.001608884,0.001761886,0.00194404,0.002147474,0.002364226,0.00258087,0.002775519,0.002925555,0.003008359,0.003001316,0.002884767,0.002673442,0.002404263,0.002114517,0.001841495,0.001622486
13,BOLVAR,0.025287077,0.019096694,0.015743128,0.014570278,0.014922046,0.016142332,0.017581078,0.018950728,0.020525599,0.022628344,0.025581614,0.029708063,0.035282106,0.042017454,0.049266066,0.056373872,0.062686804,0.067550789,0.070505026,0.071861769,0.07212654,0.071804859,0.071402246,0.071419555,0.072077593,0.07316309,0.074425443,0.07561404,0.076478276,0.076797691,0.076702296,0.076548213,0.076695328,0.077503529,0.079332707,0.082408148,0.086416722,0.090910698,0.095442344,0.09956393,0.102828372,0.104827639,0.105214227,0.103645832,0.099780156,0.093274894,0.083862075,0.072137726,0.059255305,0.046377558,0.034667234,0.025287077
15,BOYAC,0.005408882,0.004966422,0.004715978,0.004641276,0.004726039,0.004953991,0.005308882,0.005775949,0.006342736,0.006996987,0.007726442,0.008518846,0.009359077,0.010198729,0.01096792,0.011596413,0.012013966,0.012150343,0.011961613,0.01150909,0.0108804,0.010163166,0.009445013,0.008812913,0.008314708,0.007937589,0.00766353,0.007474503,0.007352483,0.007280707,0.007257116,0.007289137,0.007384355,0.007550354,0.007794719,0.008118846,0.008499376,0.008906764,0.009311462,0.009683924,0.009994642,0.010216517,0.010326176,0.010300568,0.01011664,0.009751342,0.009186424,0.008459458,0.007644033,0.006814337,0.006044557,0.005408882
17,CALDAS,0.03326589,0.031833254,0.031088099,0.030981103,0.031462945,0.032484303,0.033995444,0.035921909,0.038150911,0.040566367,0.043052193,0.045492305,0.047770172,0.049764045,0.051348805,0.052399282,0.052790304,0.052396697,0.051154328,0.049243205,0.046904371,0.044378875,0.041907759,0.0397303,0.037979435,0.03662329,0.035615808,0.034910938,0.034462623,0.034228158,0.034203728,0.034410619,0.034870532,0.035605168,0.036636228,0.037965769,0.039517264,0.041194539,0.042901424,0.044541745,0.046019269,0.047234202,0.048081218,0.048454521,0.048248311,0.047356791,0.045693008,0.04338911,0.040718594,0.037957316,0.03538113,0.03326589
18,CAQUET,0.029848729,0.0291934,0.029061297,0.029461518,0.030403161,0.031895328,0.033946081,0.036501387,0.039410962,0.042516244,0.045658669,0.048679673,0.051428415,0.053843831,0.055922773,0.057663062,0.059062515,0.060118954,0.060835052,0.061232904,0.061339459,0.061181667,0.060786478,0.060180814,0.059390007,0.058436918,0.057344197,0.056134494,0.054830458,0.053456121,0.052051572,0.05066726,0.049353807,0.048161835,0.047141966,0.046327838,0.045685154,0.045162633,0.044708994,0.044272956,0.043803301,0.043252632,0.042579471,0.041742849,0.040701798,0.03941535,0.037851653,0.036084855,0.034257491,0.032513233,0.030995755,0.029848729
19,CAUCA,0.025695805,0.025221641,0.025083586,0.025228889,0.025604798,0.02615856,0.026837461,0.02759106,0.02837244,0.029134985,0.02983208,0.030417111,0.030844839,0.031086023,0.031121748,0.030933269,0.030501839,0.029808715,0.028846029,0.027649427,0.026265432,0.02474057,0.023121363,0.021454738,0.019811726,0.018300718,0.017033323,0.016121148,0.015675799,0.015797457,0.016453469,0.017525485,0.018893724,0.020438407,0.022039754,0.023595435,0.025072918,0.026457122,0.027732964,0.028885363,0.029899044,0.030747148,0.031384861,0.031765826,0.031843686,0.031572083,0.03091392,0.029939776,0.028789692,0.027604869,0.026526506,0.025695805
20,CESAR,0.020191181,0.012685083,0.009045581,0.008458369,0.010109142,0.013183594,0.016874779,0.020817437,0.025330912,0.030793438,0.03758325,0.046078585,0.056579748,0.068481142,0.08059271,0.091714653,0.100647175,0.10619048,0.107533826,0.10542271,0.100991674,0.095375274,0.089708054,0.085115064,0.082151184,0.080487539,0.079719236,0.079441374,0.079249061,0.078779521,0.078159671,0.077832351,0.078245668,0.079847731,0.083086645,0.088218426,0.094730722,0.101919088,0.10907908,0.115506253,0.120498305,0.123481475,0.124081239,0.121940216,0.116701012,0.10800625,0.09559125,0.080269054,0.063548012,0.046948062,0.031989139,0.020191181
23,CRDOBA,0.020388123,0.014346905,0.011013851,0.009749067,0.009912662,0.010864742,0.011972248,0.013012196,0.014397214,0.016594608,0.020071681,0.025295741,0.032672419,0.041890404,0.052175842,0.06274717,0.072822825,0.081621241,0.088527137,0.093590345,0.097026978,0.09905315,0.099884973,0.09973949,0.098889559,0.097694548,0.096521267,0.095736527,0.095707135,0.096761486,0.09878136,0.1013604,0.104087452,0.106551354,0.108340954,0.109150247,0.109093865,0.108391592,0.107263216,0.105928522,0.104602643,0.103221525,0.101288376,0.098269175,0.093629907,0.086836551,0.077435614,0.06590971,0.053345391,0.040839275,0.02948798,0.020388123
25,CUNDINAMARCA,0.014057056,0.013244712,0.012982592,0.013173147,0.013718826,0.01452208,0.015485863,0.016543441,0.017675056,0.018864996,0.020097545,0.021356989,0.022623735,0.023833108,0.024891348,0.025704209,0.026177447,0.026216816,0.025756947,0.024847979,0.023568927,0.021998806,0.02021663,0.018301619,0.016345285,0.014458187,0.012752526,0.011340501,0.010334313,0.009836957,0.009844442,0.010283753,0.011080723,0.012161186,0.013450975,0.014879497,0.016390453,0.017931114,0.019448755,0.020890649,0.022203845,0.023322008,0.024158058,0.024623127,0.024628349,0.024084859,0.022919638,0.021243899,0.019287718,0.017283147,0.015462241,0.014057056
27,CHOC,0.026757642,0.026115125,0.025556542,0.025102417,0.02477328,0.024589655,0.024571766,0.024721625,0.025013018,0.025417302,0.025905835,0.026449973,0.027021355,0.02759487,0.028147509,0.028656295,0.029098254,0.02945041,0.029696593,0.029847859,0.029922071,0.02993709,0.029910778,0.02986092,0.029800745,0.029736412,0.029673474,0.029617483,0.029573993,0.029548429,0.02954475,0.029565967,0.029615075,0.029695069,0.029808946,0.029957188,0.03013023,0.030315996,0.030502409,0.030677391,0.030828799,0.030940474,0.030990032,0.030954556,0.030811128,0.030536828,0.030111829,0.02955224,0.02889735,0.028186835,0.027460374,0.026757642
