DEPTID,DEPARTMENT,01.05.14,01.12.14,01.19.14,01.26.14,02.02.14,02.09.14,02.16.14,02.23.14,03.02.14,03.09.14,03.16.14,03.23.14,03.30.14,04.06.14,04.13.14,04.20.14,04.27.14,05.04.14,05.11.14,05.18.14,05.25.14,06.01.14,06.08.14,06.15.14,06.22.14,06.29.14,07.06.14,07.13.14,07.20.14,07.27.14,08.03.14,08.10.14,08.17.14,08.24.14,09.00.14,09.07.14,09.14.14,09.21.14,09.28.14,10.05.14,10.12.14,10.19.14,10.26.14,11.02.14,11.09.14,11.16.14,11.23.14,12.00.14,12.07.14,12.14.14,12.21.14,12.28.14,01.04.15,01.11.15,01.18.15,01.25.15,02.01.15,02.08.15,02.15.15,02.22.15,03.01.15,03.08.15,03.15.15,03.22.15,03.29.15,04.05.15,04.12.15,04.19.15,04.26.15,05.03.15,05.10.15,05.17.15,05.24.15,06.00.15,06.07.15,06.14.15,06.21.15,06.28.15,07.05.15,07.12.15,07.19.15,07.26.15,08.02.15,08.09.15,08.16.15,08.23.15,08.30.15,09.06.15,09.13.15,09.20.15,09.27.15,10.04.15,10.11.15,10.18.15,10.25.15,11.01.15,11.08.15,11.15.15,11.22.15,11.29.15,12.06.15,12.13.15,12.20.15,12.27.15,01.03.16,01.10.16,01.17.16,01.24.16,02.00.16,02.07.16,02.14.16,02.21.16,02.28.16,03.06.16,03.13.16,03.20.16,03.27.16,04.03.16,04.10.16,04.17.16,04.24.16,05.01.16,05.08.16,05.15.16,05.22.16,05.29.16,06.05.16,06.12.16,06.19.16,06.26.16,07.03.16,07.10.16,07.17.16,07.24.16,08.00.16,08.07.16,08.14.16,08.21.16,08.28.16,09.04.16,09.11.16,09.18.16,09.25.16
11,BOGOT,0.303760466,0.296246711,0.291506898,0.28322951,0.267169459,0.249111999,0.220191524,0.190487801,0.193068725,0.210324488,0.214589193,0.201532487,0.189732053,0.182454201,0.178388434,0.208345118,0.247752483,0.280475606,0.308185547,0.316997293,0.284233007,0.252378395,0.233902702,0.217808025,0.208691626,0.202747172,0.207359873,0.226048782,0.239181695,0.232313029,0.224099081,0.219743354,0.216459354,0.193760156,0.156499561,0.144612699,0.188548052,0.227437133,0.224776114,0.215755101,0.219203463,0.228319724,0.225152394,0.205606945,0.189723157,0.18702135,0.188021448,0.220262447,0.261181473,0.294751594,0.322810037,0.32383392,0.288811722,0.267750605,0.265304262,0.266666017,0.281736922,0.295013918,0.273054848,0.241307983,0.222864832,0.214399468,0.202444294,0.182811536,0.167767245,0.182453199,0.20238119,0.236199417,0.276331386,0.277088247,0.225344963,0.181974679,0.168747191,0.160332207,0.179524466,0.206385404,0.224239077,0.235337301,0.238234211,0.22308823,0.209910098,0.212238688,0.217277764,0.228780961,0.243222396,0.243070764,0.223461711,0.205844506,0.195397953,0.186532171,0.18946499,0.195675197,0.191847633,0.180491741,0.168217211,0.153921681,0.142916244,0.152577382,0.166371612,0.205963811,0.257282359,0.294272406,0.312157783,0.318290205,0.298566125,0.281567131,0.272287097,0.263011239,0.252318705,0.2419953,0.251434301,0.269856213,0.272135443,0.252891095,0.228869055,0.187647321,0.14881594,0.155868492,0.175666582,0.181998001,0.178229418,0.186316508,0.220486077,0.253887288,0.277676287,0.299154663,0.295820814,0.281208681,0.264722868,0.245738816,0.232079102,0.237587009,0.243615436,0.236722494,0.226240282,0.221589146,0.221311315,0.22263392,0.227477483,0.232324102,0.236531612,0.240602685,0.243591396
13,BOLVAR,0.414626758,0.400075554,0.380319627,0.359234695,0.33522595,0.315234842,0.320565529,0.329850839,0.334132879,0.336140705,0.339149412,0.343492627,0.341321218,0.315697164,0.29298976,0.328734826,0.380716688,0.40409535,0.406021612,0.406207749,0.40256561,0.399539381,0.401026648,0.403261245,0.40600448,0.408978913,0.404141453,0.388888137,0.377971453,0.382666647,0.38964191,0.40836612,0.430353926,0.442656224,0.447694392,0.457243004,0.476714592,0.491134389,0.472547183,0.449112459,0.442341742,0.443145572,0.454372746,0.47949771,0.493240215,0.466005868,0.438898019,0.454284993,0.481476085,0.478557719,0.453057258,0.432084898,0.417150003,0.39972212,0.378970253,0.362533994,0.361633923,0.360960404,0.347469328,0.330417819,0.322696001,0.321971451,0.325676656,0.339127323,0.3526509,0.364802966,0.376493935,0.380308144,0.380542008,0.381156717,0.382279219,0.387231245,0.405969555,0.424498719,0.42673185,0.424438306,0.422954106,0.422076914,0.421621857,0.422095497,0.424801433,0.441099651,0.458945966,0.45514236,0.441497881,0.442982351,0.464638751,0.477982495,0.461400674,0.444545891,0.454341131,0.471539154,0.46432171,0.438792666,0.428983649,0.453758689,0.474954249,0.46761367,0.455831906,0.450197961,0.447358481,0.440295332,0.427600625,0.408103661,0.37364173,0.345567897,0.332545543,0.320261329,0.309716327,0.299810072,0.301675326,0.308891267,0.312024513,0.309714169,0.307473931,0.305486079,0.303251224,0.29779994,0.291455204,0.308924538,0.344254422,0.368999317,0.370457236,0.374658233,0.400126482,0.428557236,0.440942084,0.446033339,0.453261083,0.463337481,0.469883495,0.463720125,0.457457286,0.462710203,0.471161941,0.474920482,0.475159126,0.472841932,0.464901893,0.457268154,0.452573997,0.448701306,0.456206283
15,BOYAC,0.533958595,0.517619195,0.494347035,0.474339718,0.461515059,0.447521224,0.424975261,0.402333557,0.422297847,0.461628498,0.48046847,0.471987539,0.458003554,0.424208576,0.392011453,0.398799582,0.416416947,0.451946715,0.500910784,0.524934288,0.494088545,0.465855522,0.463987614,0.465508934,0.437785801,0.396769735,0.392727513,0.437983748,0.465901621,0.431401389,0.396479842,0.418920631,0.457295402,0.443235481,0.389849539,0.363905148,0.398332168,0.426837548,0.407544615,0.381602949,0.392038591,0.419009373,0.443240747,0.463819577,0.479454975,0.477294025,0.476467799,0.509454625,0.551833966,0.563126268,0.551103292,0.529415121,0.494840024,0.468511014,0.453176789,0.446440657,0.470657658,0.49376635,0.472622214,0.439185625,0.421699004,0.416174858,0.410778293,0.405662403,0.404075541,0.424198561,0.447833131,0.471171655,0.494375612,0.482506415,0.423873014,0.377325067,0.374284756,0.375723268,0.387400019,0.401920725,0.406440743,0.403460245,0.406733001,0.423762914,0.437203361,0.42593799,0.410753398,0.398444031,0.387441586,0.393063032,0.420849667,0.443170001,0.445811657,0.445365464,0.427543784,0.404895579,0.410781322,0.438067524,0.448614442,0.422334932,0.401418343,0.420454815,0.445764473,0.464286464,0.47972315,0.488410602,0.488099074,0.482996494,0.467353599,0.45332138,0.443535333,0.432078964,0.4095288,0.385701606,0.379099261,0.380326392,0.385920763,0.397338121,0.396033452,0.348929489,0.30435934,0.335994264,0.388797263,0.416119362,0.424330784,0.427698067,0.420408243,0.420952154,0.47179558,0.528464813,0.508215319,0.453002768,0.432087604,0.45690229,0.467358228,0.426122672,0.385685732,0.406523692,0.444382457,0.464628673,0.471665477,0.47347496,0.463784337,0.45618676,0.463645312,0.473385817,0.477860181
17,CALDAS,0.593513779,0.570828071,0.582185795,0.586371766,0.574779879,0.553553817,0.475865398,0.393276496,0.45112156,0.572800246,0.639349828,0.632393937,0.605150932,0.504874322,0.407003246,0.411032203,0.443366725,0.49065244,0.549151551,0.588999346,0.587814246,0.591598218,0.633692565,0.67968732,0.649383281,0.584397971,0.55319384,0.567031282,0.574523086,0.559170593,0.545717173,0.577896936,0.622752583,0.629856901,0.608647724,0.592454022,0.58729437,0.568964884,0.467359512,0.357381373,0.416740483,0.55307107,0.592739602,0.503525395,0.448969985,0.519186244,0.5954988,0.620195254,0.630553902,0.642991638,0.656988688,0.653179194,0.625627641,0.603824641,0.589686379,0.582284566,0.599133973,0.616828491,0.620413133,0.620078364,0.573539243,0.492346857,0.451185976,0.498094405,0.542768205,0.5572044,0.566938269,0.583307464,0.602692716,0.626998121,0.657863731,0.659592288,0.55642746,0.457476162,0.513980612,0.613667214,0.612124611,0.534660103,0.497051771,0.547127029,0.589513471,0.56810023,0.536520049,0.510845349,0.48785496,0.483219719,0.503058009,0.526574914,0.563334834,0.593274573,0.528129146,0.436571172,0.44637569,0.532202076,0.584427006,0.562728729,0.545641495,0.570802949,0.602565862,0.626089323,0.645867577,0.660378604,0.667866662,0.672321001,0.670101163,0.654898924,0.611580352,0.570619109,0.549448799,0.531357964,0.50898156,0.484657171,0.492411693,0.542938096,0.570344182,0.51451713,0.46144734,0.524697835,0.620259519,0.650687727,0.632265826,0.599886266,0.536799856,0.491962358,0.565397968,0.655351138,0.657462828,0.619646573,0.609487336,0.636204124,0.652813947,0.633038696,0.610363261,0.589270697,0.568617819,0.584246358,0.627085958,0.640177686,0.587824093,0.54415346,0.566257428,0.597033025,0.561989397
18,CAQUET,0.582279561,0.583509229,0.564103738,0.543305455,0.519443026,0.496501206,0.479809065,0.463855491,0.438830423,0.409681948,0.425338649,0.500735583,0.558702879,0.55392348,0.545009609,0.549228787,0.557096033,0.559944067,0.559027692,0.562310927,0.574833303,0.57949932,0.533991279,0.481717479,0.474672637,0.488186412,0.507620493,0.534948317,0.552388238,0.534231707,0.516379404,0.537774284,0.570071159,0.587111251,0.592708755,0.598188653,0.603409817,0.604537948,0.58047406,0.553141726,0.552761998,0.564633455,0.575520767,0.585095886,0.593060709,0.595228465,0.597771427,0.610613919,0.626317393,0.624274874,0.608922862,0.57353909,0.511446307,0.477421719,0.480821391,0.488557894,0.511906985,0.534088218,0.526642565,0.510967221,0.504552568,0.505083432,0.503973931,0.499255626,0.496777352,0.508786978,0.522098915,0.500857274,0.463909461,0.457344077,0.491288599,0.520397059,0.532095696,0.539477554,0.512467902,0.475905053,0.493252577,0.551032879,0.58206727,0.554260656,0.530027282,0.538824432,0.552798876,0.560866113,0.566248257,0.572166591,0.578799846,0.587355304,0.602830697,0.616113685,0.59616789,0.566991877,0.557713135,0.563357347,0.570821052,0.58228764,0.593702525,0.604050554,0.614027404,0.617464424,0.617928794,0.605619422,0.576278396,0.560562384,0.574821402,0.584484466,0.582038098,0.570489627,0.5050744,0.433020373,0.430145921,0.458716731,0.455164467,0.408781439,0.380698227,0.418494354,0.462603841,0.516594311,0.573329499,0.599189884,0.601894166,0.597034958,0.57553607,0.55712437,0.560859759,0.567074423,0.536588302,0.489420006,0.474678383,0.503172325,0.524881825,0.522167336,0.519522422,0.542136395,0.571766726,0.584288151,0.583977896,0.587405562,0.599056655,0.608845512,0.605613885,0.600418465,0.600095035
19,CAUCA,0.596837345,0.583212054,0.564965975,0.546820614,0.528896836,0.507519935,0.464807373,0.420167419,0.42609814,0.455015532,0.497512897,0.558116892,0.602961061,0.591069856,0.575799708,0.576717618,0.58213221,0.577525317,0.565402309,0.566748514,0.597726988,0.623368019,0.610557482,0.592027519,0.590524362,0.596760661,0.594603592,0.581255364,0.566222198,0.54512326,0.525233624,0.525921391,0.532325103,0.502456269,0.445383024,0.420165506,0.465030585,0.501409051,0.472357151,0.434527619,0.457177101,0.507317045,0.525955901,0.502593308,0.494753396,0.54279514,0.592432927,0.605341596,0.608047731,0.619169504,0.636603004,0.63438842,0.605976389,0.578656028,0.552791227,0.538695421,0.566967998,0.595325507,0.582333835,0.55785628,0.526419698,0.489763845,0.478424037,0.522779528,0.561230322,0.55286111,0.537161849,0.530121276,0.527016471,0.513386861,0.485724179,0.472600346,0.511816373,0.552737661,0.561782225,0.561972143,0.544472306,0.513705151,0.501668849,0.530840423,0.552729139,0.522006435,0.483325813,0.463576032,0.452431179,0.452749557,0.468352241,0.481738368,0.48714489,0.489619818,0.464895229,0.432615218,0.440304743,0.47797142,0.510980596,0.533743269,0.556485177,0.581013775,0.605605268,0.622711094,0.636414345,0.636383894,0.61804184,0.597237773,0.571017277,0.558684312,0.577265012,0.588807322,0.551169439,0.505711966,0.465388578,0.427398863,0.430955808,0.489908299,0.533157645,0.519875672,0.5043656,0.518649669,0.541209888,0.543141007,0.529600301,0.52651386,0.546426803,0.567626875,0.592466384,0.616946106,0.61007692,0.588958231,0.578908283,0.583616659,0.582232264,0.558913895,0.535207734,0.528782034,0.527156462,0.525628856,0.524174725,0.525126935,0.531373095,0.534598105,0.518203419,0.499215237,0.499633555
20,CESAR,0.523652519,0.512481476,0.490513744,0.469141706,0.449080195,0.430712689,0.422546655,0.417012931,0.443753792,0.485164918,0.504067516,0.492958742,0.486533878,0.496971093,0.511320139,0.555749092,0.608533575,0.639718085,0.654702616,0.663732773,0.65966331,0.652580532,0.629363556,0.603992711,0.59388396,0.590712524,0.58163823,0.564693457,0.551071158,0.549409763,0.550434262,0.571728584,0.598653411,0.604962264,0.595809136,0.596054923,0.616978326,0.634999281,0.631257812,0.624233065,0.62531853,0.630090454,0.628445429,0.61824447,0.615228489,0.638078431,0.66099308,0.658818307,0.64967425,0.637663859,0.623503717,0.595759935,0.549904632,0.518965624,0.507915012,0.497614431,0.490013966,0.482405906,0.472006601,0.46083195,0.457403492,0.459784679,0.46054733,0.457749201,0.458037331,0.478022796,0.500999374,0.517275336,0.530505565,0.539689738,0.543479169,0.551555111,0.575062499,0.59761467,0.593272805,0.581460375,0.563269109,0.540293716,0.528822012,0.542658425,0.555847256,0.560313371,0.563518017,0.571772516,0.582322403,0.593492965,0.605491095,0.615104737,0.616134222,0.616767822,0.621234975,0.626767004,0.624487357,0.616348954,0.613731439,0.623259877,0.632234443,0.635523762,0.637417201,0.623670361,0.602814303,0.580774825,0.557157451,0.532674738,0.506288277,0.482704761,0.46541464,0.449240624,0.438773214,0.429067082,0.413945019,0.396361169,0.390824765,0.401351621,0.4078648,0.399928743,0.393211392,0.41556775,0.446000137,0.492855189,0.55202724,0.59358024,0.596371329,0.598588242,0.604507791,0.61129439,0.626879517,0.646463975,0.648757613,0.627996825,0.612687719,0.617004671,0.622576731,0.623584033,0.623323347,0.617953327,0.608751306,0.606144727,0.618048121,0.629606733,0.636327733,0.641853597,0.633827747
23,CRDOBA,0.53212192,0.512011875,0.475085839,0.441121909,0.413674613,0.388407986,0.375371065,0.364770881,0.369137601,0.380307459,0.380931139,0.367493248,0.357604767,0.360494164,0.367492701,0.41102305,0.464701124,0.487203938,0.486325306,0.501625476,0.552519009,0.599334735,0.614352695,0.623853622,0.62145346,0.613643713,0.607034717,0.602026722,0.597702436,0.5958395,0.594621443,0.59868058,0.604205604,0.601187987,0.591763389,0.587232297,0.593466917,0.597451766,0.585551246,0.571648532,0.576681651,0.590321965,0.602026743,0.611150807,0.613009168,0.588711001,0.564600888,0.56890396,0.581099583,0.577476326,0.56198891,0.543300541,0.520344233,0.495366952,0.467695041,0.444705282,0.438571277,0.433863386,0.429413111,0.425034397,0.403796918,0.369915366,0.348635406,0.355078951,0.367120659,0.408503716,0.453849352,0.472944231,0.480106948,0.488359736,0.498065952,0.513574693,0.549972525,0.586252962,0.600235558,0.60802431,0.584000481,0.536117218,0.518216793,0.566278613,0.610200672,0.616267928,0.616176763,0.615432047,0.614390263,0.610417593,0.602537074,0.597987404,0.605428794,0.612498646,0.603119003,0.589170055,0.581900721,0.579641097,0.582435819,0.596350104,0.606840262,0.594137066,0.578058195,0.574697804,0.577118542,0.574191522,0.564134159,0.546385517,0.511716064,0.476988105,0.44325949,0.412579138,0.40050966,0.391398034,0.380302195,0.368304441,0.357639705,0.348752326,0.339484863,0.328849093,0.319359639,0.324994272,0.334830041,0.372690532,0.431569564,0.477904687,0.496643212,0.517097973,0.553293124,0.591188823,0.60097021,0.597972365,0.598550025,0.603895025,0.610503725,0.621661743,0.63196553,0.627469241,0.618861819,0.618929646,0.62550391,0.625947,0.612901511,0.600813001,0.597146454,0.594765388,0.589736345
25,CUNDINAMARCA,0.77686654,0.758858344,0.725851458,0.691346191,0.653544487,0.610452845,0.53535592,0.458963218,0.51108142,0.621613668,0.672573163,0.644102322,0.618221483,0.601664653,0.588001646,0.599740526,0.618535485,0.652381264,0.697515159,0.712476823,0.661059575,0.615912548,0.621836013,0.635423512,0.628627956,0.612567374,0.616285168,0.646374131,0.657958464,0.602926127,0.550383287,0.594331081,0.665081828,0.650413083,0.571679719,0.537621255,0.601847571,0.650106765,0.581535697,0.49741677,0.525418316,0.604383712,0.647204661,0.641833014,0.62689692,0.577528817,0.537553694,0.644726354,0.792773397,0.826669358,0.774952008,0.725594889,0.679384745,0.639388612,0.607677826,0.596494319,0.659209018,0.719293031,0.673910602,0.59923194,0.565112151,0.561411516,0.55206193,0.530284649,0.514470048,0.537747656,0.568212658,0.626665511,0.697840116,0.687338772,0.567936162,0.475543622,0.480387332,0.495027808,0.529993236,0.570604484,0.592846448,0.60131145,0.60192435,0.585262626,0.567240299,0.54405567,0.520732642,0.520467754,0.530683839,0.551850674,0.58761851,0.615865149,0.617035476,0.615217303,0.604613462,0.591569157,0.57595754,0.558420441,0.536068985,0.503125945,0.479680038,0.516779015,0.564174575,0.627360396,0.697723608,0.735877919,0.731087029,0.712023734,0.661561149,0.621333264,0.605715003,0.591835978,0.584083473,0.577485301,0.576194978,0.577317312,0.593083363,0.628374369,0.636839314,0.548730441,0.461220966,0.477478092,0.522559274,0.539670142,0.535803275,0.545503289,0.58505044,0.628661897,0.691759077,0.75526192,0.727876703,0.659178732,0.621374293,0.624761231,0.621569744,0.594695931,0.568350477,0.572027675,0.584044497,0.592416734,0.598055531,0.602928974,0.606118638,0.610503262,0.62257145,0.636449054,0.668919936
27,CHOC,0.482197141,0.49069639,0.494123159,0.484914592,0.447908286,0.417818012,0.435571123,0.460055849,0.450657099,0.425856771,0.427763224,0.465278719,0.497517538,0.51076032,0.522802558,0.539434303,0.55734091,0.574695649,0.591636487,0.594548791,0.566598322,0.546497431,0.580569562,0.621871649,0.611863415,0.578532308,0.564118196,0.574926744,0.585925234,0.597607515,0.608254844,0.605798969,0.599703315,0.589028463,0.574919212,0.569139546,0.581684968,0.588679982,0.558023096,0.522624262,0.532229669,0.562291549,0.584572158,0.596477739,0.603552307,0.593235226,0.582528245,0.584534109,0.590071319,0.595777844,0.601611357,0.575774553,0.507710662,0.469248993,0.470256953,0.473358035,0.483994361,0.492805531,0.472179594,0.443376684,0.457588274,0.504060739,0.535197658,0.532596377,0.531222811,0.543724772,0.55811328,0.560505021,0.557443686,0.561215525,0.574098262,0.57622308,0.53961939,0.506044059,0.54753754,0.609883469,0.60292579,0.543990403,0.51767446,0.563121291,0.601101864,0.579630302,0.549127894,0.538756878,0.537536493,0.536487496,0.535667017,0.542151275,0.574932586,0.604392574,0.56769963,0.512630872,0.512861272,0.55456604,0.585786569,0.59394177,0.600011261,0.597529054,0.593732425,0.59232301,0.591998693,0.563651249,0.497939639,0.462679012,0.494410551,0.521886255,0.535532978,0.537322732,0.468578715,0.389999749,0.364318456,0.36268156,0.358656365,0.35144677,0.356344382,0.404827933,0.453553749,0.461600803,0.458348201,0.4788626,0.51720225,0.532034093,0.495148762,0.469731898,0.524701576,0.59087788,0.596696201,0.575079075,0.564620304,0.569039342,0.57075098,0.562715984,0.553853226,0.544803971,0.535702911,0.53787608,0.54850492,0.560434129,0.575224151,0.587001957,0.579669838,0.569118712,0.554604275
