DEPTID,DEPARTMENT,01.05.14,01.12.14,01.19.14,01.26.14,02.02.14,02.09.14,02.16.14,02.23.14,03.02.14,03.09.14,03.16.14,03.23.14,03.30.14,04.06.14,04.13.14,04.20.14,04.27.14,05.04.14,05.11.14,05.18.14,05.25.14,06.01.14,06.08.14,06.15.14,06.22.14,06.29.14,07.06.14,07.13.14,07.20.14,07.27.14,08.03.14,08.10.14,08.17.14,08.24.14,09.00.14,09.07.14,09.14.14,09.21.14,09.28.14,10.05.14,10.12.14,10.19.14,10.26.14,11.02.14,11.09.14,11.16.14,11.23.14,12.00.14,12.07.14,12.14.14,12.21.14,12.28.14,01.04.15,01.11.15,01.18.15,01.25.15,02.01.15,02.08.15,02.15.15,02.22.15,03.01.15,03.08.15,03.15.15,03.22.15,03.29.15,04.05.15,04.12.15,04.19.15,04.26.15,05.03.15,05.10.15,05.17.15,05.24.15,06.00.15,06.07.15,06.14.15,06.21.15,06.28.15,07.05.15,07.12.15,07.19.15,07.26.15,08.02.15,08.09.15,08.16.15,08.23.15,08.30.15,09.06.15,09.13.15,09.20.15,09.27.15,10.04.15,10.11.15,10.18.15,10.25.15,11.01.15,11.08.15,11.15.15,11.22.15,11.29.15,12.06.15,12.13.15,12.20.15,12.27.15,01.03.16,01.10.16,01.17.16,01.24.16,02.00.16,02.07.16,02.14.16,02.21.16,02.28.16,03.06.16,03.13.16,03.20.16,03.27.16,04.03.16,04.10.16,04.17.16,04.24.16,05.01.16,05.08.16,05.15.16,05.22.16,05.29.16,06.05.16,06.12.16,06.19.16,06.26.16,07.03.16,07.10.16,07.17.16,07.24.16,08.00.16,08.07.16,08.14.16,08.21.16,08.28.16,09.04.16,09.11.16,09.18.16,09.25.16
11,BOGOT,0.308753243,0.304750687,0.305260258,0.303204923,0.295506797,0.283980578,0.249902247,0.213429797,0.218635706,0.242786323,0.271485362,0.306248963,0.323421193,0.277264489,0.230714824,0.24277858,0.271123842,0.284154533,0.285699296,0.268059324,0.208212936,0.160185755,0.192930748,0.237275457,0.232170514,0.204588457,0.196663001,0.214946347,0.226005991,0.211060312,0.195019712,0.191845395,0.192245045,0.198599078,0.209418898,0.222005905,0.238480723,0.248189414,0.215447145,0.177409721,0.191802161,0.230026359,0.258841887,0.275112523,0.288737263,0.292836781,0.295533887,0.290927272,0.284291846,0.288390918,0.300540864,0.308650029,0.311371485,0.308215512,0.297222965,0.292697799,0.311455204,0.330691569,0.332392894,0.329223375,0.314738345,0.291766682,0.273109068,0.263942358,0.250303169,0.207310142,0.161921186,0.194549255,0.262639609,0.270688027,0.198680529,0.141076952,0.135327495,0.134642243,0.142873343,0.153581207,0.179967716,0.21811321,0.241549664,0.232626231,0.219550362,0.186914847,0.152259804,0.155630865,0.176286519,0.211006738,0.264479711,0.302625674,0.285594406,0.262993635,0.228736057,0.191240477,0.201614439,0.247890558,0.260251764,0.198000165,0.146389481,0.174340572,0.214512363,0.232204246,0.23967799,0.250366839,0.265342495,0.275522112,0.275150445,0.274726011,0.274888907,0.27332289,0.26098549,0.24626823,0.21065704,0.165548609,0.157036511,0.197319526,0.230317489,0.237089269,0.238997593,0.208770649,0.169617241,0.181100957,0.230562517,0.253137571,0.216562314,0.190993161,0.244348329,0.308228283,0.297074443,0.251814333,0.228141239,0.233250834,0.234360895,0.221072635,0.208167629,0.214260009,0.225629441,0.230003351,0.22913062,0.224990339,0.213661449,0.208343812,0.241438907,0.279586129,0.278893535
13,BOLVAR,0.434223605,0.409814968,0.384053556,0.365175013,0.36143878,0.35622165,0.3390427,0.320674794,0.327083295,0.344753799,0.348797506,0.334672149,0.325961184,0.336742025,0.348671252,0.354889309,0.35952093,0.379113413,0.40992654,0.429215152,0.423149829,0.418629938,0.428378066,0.439847107,0.431753131,0.414766875,0.40598311,0.408136003,0.407850367,0.398786033,0.392110144,0.4228743,0.464038469,0.475433984,0.46450301,0.462787303,0.481345183,0.496646111,0.48807401,0.47601328,0.476580795,0.482888421,0.488135586,0.491968804,0.495001435,0.495151956,0.49485967,0.492135826,0.488736549,0.485967443,0.483670967,0.47403314,0.454606848,0.435371986,0.416392365,0.398337993,0.383614519,0.369905971,0.365045654,0.362643178,0.349884062,0.329357464,0.316089325,0.318789797,0.320374648,0.312095807,0.303291543,0.329932405,0.372684688,0.399918134,0.406459797,0.407648444,0.389566237,0.372863035,0.391978747,0.421044158,0.424855304,0.409725753,0.408639368,0.43844795,0.462886005,0.448432509,0.428484577,0.435342616,0.454385188,0.468059354,0.474575648,0.480973735,0.486946274,0.491523145,0.47977755,0.463497937,0.463381142,0.475386461,0.476730859,0.45462123,0.436224055,0.445103169,0.458279693,0.467305749,0.474445229,0.471006495,0.453463477,0.432983508,0.406042248,0.384263815,0.374274358,0.363405187,0.344908126,0.325231939,0.307464114,0.290563725,0.29221853,0.318613593,0.335106517,0.315951741,0.295766508,0.298863487,0.308427747,0.314972272,0.319251996,0.331701891,0.36212616,0.390351042,0.401654185,0.410541627,0.430265127,0.454914107,0.464553853,0.454181285,0.447136122,0.452069614,0.458434784,0.470001449,0.483012973,0.487531679,0.48568077,0.480663309,0.468679434,0.460281773,0.475300906,0.493215097,0.481354721
15,BOYAC,0.546642243,0.531259367,0.511595344,0.495568159,0.487542019,0.475662642,0.438526493,0.398566364,0.400572752,0.421654829,0.444796186,0.470683251,0.485651924,0.461314384,0.436495384,0.445205082,0.463228308,0.493488748,0.5329271,0.539408191,0.47338331,0.414185488,0.41063696,0.416656198,0.440612757,0.472722645,0.48146846,0.459062179,0.442733603,0.448284769,0.452778305,0.422700559,0.383019679,0.39267896,0.439343362,0.473567389,0.480422593,0.477743172,0.421381279,0.358805768,0.378454683,0.435478337,0.46502216,0.45792621,0.458640291,0.487470483,0.516460036,0.519245811,0.514752759,0.524345579,0.544502802,0.557069977,0.559517087,0.537902987,0.484207271,0.446442865,0.466031176,0.488606426,0.489672244,0.48476322,0.47827782,0.470610138,0.461061365,0.447374194,0.429716484,0.388347125,0.345817494,0.39188828,0.478231983,0.514304386,0.483348392,0.443573834,0.372052447,0.305465399,0.329837246,0.379475451,0.419482723,0.452266794,0.463469417,0.427192854,0.393308842,0.383051264,0.376345414,0.360413243,0.340287291,0.355704391,0.41851223,0.469260831,0.476596179,0.477636677,0.446552244,0.406544219,0.40923582,0.443952138,0.466327941,0.46155461,0.461137932,0.49266061,0.528238582,0.526722583,0.508345687,0.501169248,0.508926749,0.508005315,0.487990223,0.469943399,0.45749968,0.445001779,0.431122718,0.416471565,0.383732421,0.342771462,0.331679978,0.360414459,0.389288682,0.418665973,0.44438538,0.425707115,0.394696164,0.400662918,0.434362952,0.452753945,0.437465051,0.431157851,0.486531474,0.549526796,0.533962457,0.48268918,0.455963099,0.461966613,0.466039834,0.463164,0.461053425,0.475075022,0.493577778,0.513547025,0.534616141,0.535531966,0.492110552,0.452775041,0.446921179,0.447047375,0.465343458
17,CALDAS,0.631155198,0.597109919,0.563102049,0.544173855,0.55842095,0.566578302,0.530982821,0.489789868,0.498017095,0.528708041,0.565602896,0.61076963,0.649448751,0.664772466,0.672896754,0.617983329,0.545559429,0.556504627,0.629976648,0.668525243,0.630242299,0.600388878,0.636874921,0.683018196,0.692844384,0.686162805,0.675190669,0.65849779,0.646125454,0.649307074,0.65167297,0.62869623,0.598679867,0.598255463,0.620025026,0.640447757,0.657907459,0.666935781,0.624524294,0.575253284,0.574890498,0.596758723,0.617020395,0.635139997,0.648134945,0.642681137,0.636157456,0.635244068,0.635889095,0.645832772,0.662750436,0.6754317,0.682464428,0.684617822,0.680265436,0.67138901,0.646226045,0.621023011,0.611625705,0.606618879,0.6205494,0.648682931,0.645861582,0.574939494,0.520323031,0.57898381,0.654691035,0.686744657,0.698955731,0.695468217,0.671049251,0.646245449,0.62005624,0.598501518,0.633946043,0.685223693,0.699925703,0.687195984,0.678336977,0.677993537,0.675391853,0.657273034,0.636622734,0.615471199,0.59409183,0.587996607,0.602280248,0.610954744,0.599436316,0.585799286,0.566931947,0.546611746,0.546712131,0.562127957,0.582096163,0.612079605,0.636279669,0.622944027,0.604944409,0.633900338,0.684199699,0.706876595,0.692723539,0.68027114,0.671560183,0.656891218,0.628865203,0.60388543,0.600186826,0.597014886,0.49733987,0.353799821,0.312769498,0.40841881,0.495270909,0.550453039,0.600801785,0.624819905,0.641523962,0.577841974,0.45387045,0.403802697,0.516323237,0.62111164,0.647835867,0.661498964,0.661893561,0.656257022,0.657699085,0.668579285,0.676921602,0.676127537,0.673975567,0.664665125,0.653366219,0.643448185,0.634565806,0.620926148,0.596820479,0.578410686,0.597081231,0.620975365,0.618818008
18,CAQUET,0.629465331,0.618434347,0.600953466,0.581058728,0.555853501,0.531539445,0.513713308,0.496149768,0.452532767,0.397073284,0.399110853,0.477811158,0.536910137,0.525444346,0.509718747,0.513440232,0.522563684,0.550941803,0.593760921,0.61389215,0.584110023,0.558504066,0.5679784,0.581606674,0.544587994,0.48454797,0.450038441,0.449569573,0.459787254,0.508476515,0.555874436,0.549304705,0.52774396,0.536559119,0.568156206,0.595341141,0.612819342,0.627890006,0.629928083,0.629767055,0.626777543,0.622502356,0.615266726,0.604083838,0.5944918,0.590626826,0.588036117,0.595009539,0.604639664,0.611292873,0.615713394,0.622084246,0.631055536,0.603593363,0.527553238,0.47066747,0.482737387,0.50181969,0.536094953,0.574590482,0.550268871,0.478834404,0.433423301,0.445263598,0.460049817,0.482304066,0.504972095,0.501330821,0.485730774,0.464902345,0.437102741,0.41407772,0.408241196,0.406497561,0.43668011,0.475731043,0.474147547,0.442088229,0.44537839,0.526437404,0.596719421,0.586010721,0.562530393,0.550996132,0.544891902,0.557560499,0.595259533,0.625891941,0.631084501,0.632991452,0.620910953,0.604945051,0.605989203,0.619790897,0.625148321,0.611928351,0.602317656,0.618435692,0.638328985,0.645122259,0.645960979,0.646961196,0.648176745,0.641456842,0.617278944,0.603019412,0.611744153,0.612392666,0.55894274,0.496008176,0.409580284,0.312473608,0.296256655,0.387892666,0.464558459,0.487331466,0.501674051,0.468744346,0.42268345,0.459416015,0.558243674,0.606730564,0.544467759,0.489917879,0.503626683,0.526130546,0.47359517,0.386951049,0.33781795,0.33869955,0.365898895,0.487842127,0.609261635,0.629652582,0.62198004,0.605409388,0.582165153,0.568716583,0.576818473,0.586873739,0.604947714,0.623575117,0.617554696
19,CAUCA,0.626510698,0.619898458,0.618951002,0.604887687,0.561969486,0.518921244,0.480463158,0.443412724,0.428251262,0.423039333,0.459259889,0.550723758,0.62029232,0.611037779,0.595046266,0.577034213,0.558460899,0.575536904,0.619349897,0.635243995,0.589716522,0.554527213,0.594567688,0.645485759,0.652783514,0.640253852,0.621932958,0.595890422,0.575764846,0.576940325,0.578847288,0.568231017,0.554136069,0.549464069,0.551859281,0.554154283,0.556228826,0.555573553,0.538125615,0.518575631,0.519521575,0.52978385,0.537248609,0.540983348,0.550828044,0.582668587,0.613454951,0.609595333,0.596111829,0.604149889,0.628329121,0.645428594,0.653088389,0.639079441,0.596178835,0.562940135,0.564484295,0.568205495,0.563268328,0.555926059,0.552292783,0.551441253,0.547786778,0.537965823,0.532038187,0.551271667,0.574678163,0.601148184,0.629010716,0.631086802,0.598780961,0.570766679,0.558202009,0.548829744,0.562316731,0.58215351,0.595013364,0.602640522,0.601917872,0.58282564,0.565197204,0.560028206,0.556718688,0.54809719,0.537061155,0.532105753,0.535257861,0.535555759,0.525578502,0.513825049,0.491032411,0.465173332,0.486344361,0.54278797,0.578799769,0.569861584,0.565041942,0.594019721,0.627834212,0.640398314,0.643303148,0.64452878,0.643515477,0.638496803,0.624666313,0.616473771,0.621272168,0.624612117,0.616530704,0.602913581,0.467737779,0.277308031,0.233472708,0.385096618,0.509795485,0.537564194,0.556564903,0.567279769,0.575693012,0.581791229,0.586153178,0.58889305,0.588064351,0.589835713,0.608307644,0.628568492,0.618493022,0.594628317,0.581338907,0.582149889,0.585311702,0.596936506,0.607806823,0.601160293,0.589647972,0.57775239,0.565569362,0.556612173,0.554751829,0.5529854,0.550471931,0.547170523,0.521864838
20,CESAR,0.527576854,0.505961852,0.484886841,0.466165995,0.452624315,0.44146931,0.444064305,0.44923321,0.465760063,0.487449621,0.497267226,0.491255561,0.486754865,0.487693659,0.491053916,0.518032259,0.55157118,0.581790651,0.609520534,0.631664961,0.641521382,0.650362467,0.655238547,0.658638566,0.634546672,0.597958454,0.568555431,0.548732667,0.533754561,0.536217224,0.542035332,0.570678016,0.60566086,0.619642269,0.617872601,0.623417771,0.645055583,0.662620638,0.65206315,0.637213164,0.631204359,0.629214272,0.628003685,0.627832431,0.6274159,0.626116369,0.62426765,0.616711672,0.607570343,0.606226958,0.610732029,0.610451436,0.603789955,0.582605521,0.542057149,0.508209455,0.498484202,0.491164242,0.48858538,0.487323489,0.477714822,0.461846074,0.450503862,0.449120031,0.448732492,0.452627841,0.457697375,0.478595764,0.506689088,0.535339429,0.564732461,0.589242431,0.596173376,0.601275148,0.602005878,0.601522429,0.589343614,0.568393273,0.555027719,0.558348694,0.561431281,0.559925613,0.558133087,0.571427606,0.591579872,0.602106931,0.599800383,0.600240442,0.610568284,0.62118134,0.625329192,0.627681154,0.627929622,0.626600471,0.624800406,0.621964327,0.620772559,0.629914306,0.640338241,0.637776105,0.629311209,0.612441712,0.584366082,0.554326825,0.519967589,0.492533055,0.480620865,0.467861065,0.446973694,0.425449458,0.42640221,0.437571775,0.430779393,0.400037748,0.378152855,0.388152269,0.400943504,0.415352304,0.430210427,0.457046064,0.492864837,0.530788146,0.573341434,0.611875211,0.624756799,0.633321692,0.6367095,0.637744087,0.638931077,0.640321272,0.640993086,0.639078728,0.63677524,0.632388362,0.627422764,0.621526544,0.614932355,0.605688564,0.590615645,0.580882559,0.60516772,0.633973799,0.629926589
23,CRDOBA,0.548648479,0.522865976,0.490884223,0.46217682,0.440672984,0.422956351,0.427248006,0.434491567,0.421373912,0.399001159,0.387912497,0.391869288,0.391657041,0.376436253,0.362131023,0.373821037,0.392731953,0.437357391,0.501268722,0.538516355,0.517103854,0.50238935,0.539940899,0.584920697,0.59533875,0.590046917,0.583449627,0.575111725,0.56914354,0.571706337,0.575416816,0.584368513,0.594776103,0.599225493,0.599206231,0.596256675,0.586860471,0.577694066,0.571149437,0.56500878,0.558169165,0.551011841,0.551497455,0.562173655,0.574677552,0.593761155,0.610678466,0.59502057,0.570314006,0.56135642,0.564210568,0.560953505,0.549548159,0.519988155,0.46622194,0.42774366,0.444301948,0.463231071,0.455573649,0.440531077,0.429099209,0.420375368,0.409660927,0.394567163,0.383806848,0.40058782,0.421848012,0.443539348,0.465426658,0.465902121,0.437828455,0.424712573,0.465444715,0.510741164,0.556961298,0.603438011,0.619834403,0.613670553,0.611566481,0.618393918,0.623402161,0.61552303,0.605804263,0.604342407,0.606633692,0.600136347,0.581920827,0.571938978,0.59159834,0.610547475,0.591332686,0.561516807,0.562692353,0.587111467,0.597490363,0.576980781,0.560289061,0.572912911,0.589840531,0.591914658,0.587237196,0.586953065,0.592526709,0.583649001,0.542978315,0.512412954,0.506198837,0.498245779,0.475018768,0.448464262,0.393838722,0.326453621,0.307931222,0.354559093,0.390366479,0.387220118,0.379874487,0.36109136,0.339131152,0.334358578,0.34247673,0.36564747,0.421933903,0.475729415,0.507975959,0.536666064,0.563309798,0.589023362,0.607669745,0.616893221,0.621635644,0.610246272,0.597889655,0.590057884,0.583483014,0.595461609,0.621355302,0.637993001,0.634267514,0.625678417,0.5909023,0.553215272,0.559604117
25,CUNDINAMARCA,0.791513462,0.787352613,0.789823643,0.784745482,0.763059102,0.728387818,0.616746512,0.496523335,0.504992008,0.571956977,0.637463859,0.701026624,0.745124388,0.719148149,0.687422083,0.656772115,0.626421061,0.662413067,0.748162366,0.765507291,0.632362592,0.518535225,0.551953205,0.608372545,0.635875203,0.650233914,0.647800635,0.622978037,0.602510165,0.597719309,0.592094346,0.560783094,0.522336762,0.561349303,0.658455997,0.723358567,0.717412065,0.699586617,0.621747137,0.537728772,0.570963356,0.657494736,0.710059364,0.71733499,0.722157557,0.718149111,0.71432979,0.721611,0.731975691,0.75619305,0.790799912,0.803966229,0.788545153,0.751075448,0.684207571,0.644634061,0.703320274,0.764789806,0.761399459,0.739992478,0.709152594,0.671238033,0.641006607,0.627678081,0.606237901,0.531617238,0.453189641,0.533720636,0.686505536,0.723015175,0.604491133,0.506454009,0.482169788,0.467481626,0.494193262,0.532404842,0.57905059,0.632021962,0.653260342,0.604686137,0.557450665,0.531516501,0.509550251,0.504534375,0.507223216,0.54553906,0.631357576,0.69874402,0.699775008,0.691248356,0.634385503,0.564095928,0.56448436,0.617881299,0.634978417,0.572215929,0.524239826,0.582369681,0.656370575,0.686305493,0.696210421,0.708486892,0.723925421,0.727646342,0.705588527,0.681453319,0.65446643,0.63191398,0.637240121,0.643745404,0.539974253,0.38607745,0.36746269,0.529223987,0.664637943,0.705201473,0.729062267,0.647340671,0.536290633,0.547862685,0.651401303,0.702345622,0.637582483,0.59135874,0.681083377,0.789069778,0.772186847,0.698545129,0.660079159,0.668514186,0.666328016,0.625905538,0.586814933,0.601943111,0.632132061,0.645238495,0.64553304,0.635241029,0.601658591,0.578986195,0.627944647,0.687122787,0.700228783
27,CHOC,0.405032425,0.363210102,0.359701542,0.358431176,0.362084839,0.362233542,0.339848176,0.314662122,0.317641085,0.333422328,0.361562896,0.406182565,0.43910642,0.429925345,0.419778645,0.440149378,0.468997175,0.510266807,0.560852815,0.579333857,0.527183973,0.485790428,0.523926347,0.573665668,0.580727151,0.568389617,0.556175328,0.544125367,0.540670037,0.568155377,0.594927844,0.582205156,0.558511592,0.534289503,0.50967102,0.503813036,0.539228151,0.567508475,0.544078268,0.512456983,0.487251336,0.464961888,0.466753166,0.500652077,0.532730297,0.558254026,0.580605883,0.571449774,0.553541453,0.513433562,0.456675993,0.432174753,0.450681951,0.455850613,0.443234559,0.429300484,0.410621536,0.393678431,0.402310327,0.41804639,0.423244318,0.420538645,0.417699444,0.414566484,0.424289143,0.513343023,0.611863924,0.598267264,0.533708076,0.496016806,0.494149425,0.498065957,0.522804577,0.549410531,0.577602412,0.606234828,0.607128049,0.587216873,0.579897474,0.600279984,0.610284395,0.551113911,0.483090154,0.493087557,0.538549124,0.552049744,0.522935768,0.502810264,0.515043255,0.530160739,0.547533646,0.56553306,0.558047997,0.531449575,0.521956034,0.55009323,0.57634921,0.583972355,0.588335789,0.584839629,0.577770927,0.540749295,0.463790421,0.412768877,0.418809456,0.432435448,0.458945205,0.475112674,0.425095127,0.3633664,0.269347959,0.160652377,0.142816954,0.24612841,0.328085531,0.333167042,0.331288399,0.322763518,0.312392461,0.337539208,0.389324308,0.437715434,0.478639819,0.518033639,0.549384274,0.578253851,0.568290404,0.540675582,0.534614197,0.557290726,0.573267148,0.565123183,0.554377935,0.536537682,0.516726593,0.514356315,0.525066646,0.538186484,0.556607235,0.572439416,0.571318176,0.567213439,0.555377036
